Station,Year,Month,Day,Daily Rainfall Total (mm),Mean Temperature (°C),Date
Sentosa Island,2024,5,27,0,29.9,2024-5-27
Sentosa Island,2024,5,28,0,29.9,2024-5-28
Sentosa Island,2024,5,29,0,30.5,2024-5-29
Sentosa Island,2024,5,30,0,29.5,2024-5-30
Sentosa Island,2024,5,31,0,29.6,2024-5-31
Sentosa Island,2024,6,1,18,27.2,2024-6-1
Sentosa Island,2024,6,2,4,27.6,2024-6-2
Sentosa Island,2024,6,3,0,28.5,2024-6-3
Sentosa Island,2024,6,4,0,29.6,2024-6-4
Sentosa Island,2024,6,5,0,29.9,2024-6-5
Sentosa Island,2024,6,6,0,29.1,2024-6-6
Sentosa Island,2024,6,7,0,28.9,2024-6-7
Sentosa Island,2024,6,8,2.8,29.2,2024-6-8
Sentosa Island,2024,6,9,0,29.4,2024-6-9
Sentosa Island,2024,6,10,0,29.6,2024-6-10
Sentosa Island,2024,6,11,0,30,2024-6-11
Sentosa Island,2024,6,12,0,29.3,2024-6-12
Sentosa Island,2024,6,13,0,30.1,2024-6-13
Sentosa Island,2024,6,14,0,29.4,2024-6-14
Sentosa Island,2024,6,15,2,29.1,2024-6-15
Sentosa Island,2024,6,16,11,28.3,2024-6-16
Sentosa Island,2024,6,17,1.2,29,2024-6-17
Sentosa Island,2024,6,18,0.2,29.3,2024-6-18
Sentosa Island,2024,6,19,0,28.9,2024-6-19
Sentosa Island,2024,6,20,0.4,29.3,2024-6-20
Sentosa Island,2024,6,21,22.8,27.8,2024-6-21
Sentosa Island,2024,6,22,41.2,26.7,2024-6-22
Sentosa Island,2024,6,23,0,28.9,2024-6-23
Sentosa Island,2024,6,24,0,29.7,2024-6-24
Sentosa Island,2024,6,25,0,29.6,2024-6-25
Sentosa Island,2024,6,26,1.6,29.5,2024-6-26
Sentosa Island,2024,6,27,0.2,28.7,2024-6-27
Sentosa Island,2024,6,28,0,29.3,2024-6-28
Sentosa Island,2024,6,29,4.6,29,2024-6-29
Sentosa Island,2024,6,30,29.8,26.8,2024-6-30
Sentosa Island,2024,7,1,3.2,27.9,2024-7-1
Sentosa Island,2024,7,2,1,28.8,2024-7-2
Sentosa Island,2024,7,3,0,29.4,2024-7-3
Sentosa Island,2024,7,4,0,29.4,2024-7-4
Sentosa Island,2024,7,5,0,29.2,2024-7-5
Sentosa Island,2024,7,6,3.6,28.5,2024-7-6
Sentosa Island,2024,7,7,21,27.8,2024-7-7
Sentosa Island,2024,7,8,4,27.1,2024-7-8
Sentosa Island,2024,7,9,0.2,27.8,2024-7-9
Sentosa Island,2024,7,10,0.4,28.5,2024-7-10
Sentosa Island,2024,7,11,0,29.2,2024-7-11
Sentosa Island,2024,7,12,7.8,27.8,2024-7-12
Sentosa Island,2024,7,13,0,29,2024-7-13
Sentosa Island,2024,7,14,0.8,29,2024-7-14
Sentosa Island,2024,7,15,0,29.5,2024-7-15
Sentosa Island,2024,7,16,0,29.2,2024-7-16
Sentosa Island,2024,7,17,0,29.2,2024-7-17
Sentosa Island,2024,7,18,0,29.5,2024-7-18
Sentosa Island,2024,7,19,0,29.6,2024-7-19
Sentosa Island,2024,7,20,0,29.9,2024-7-20
Sentosa Island,2024,7,21,0,29.8,2024-7-21
Sentosa Island,2024,7,22,0,29.9,2024-7-22
Sentosa Island,2024,7,23,0,29.9,2024-7-23
Sentosa Island,2024,7,24,0,29.7,2024-7-24
Sentosa Island,2024,7,25,0,29.7,2024-7-25
Sentosa Island,2024,7,26,0,29.8,2024-7-26
Sentosa Island,2024,7,27,0,30,2024-7-27
Sentosa Island,2024,7,28,0,30,2024-7-28
Sentosa Island,2024,7,29,0,30.1,2024-7-29
Sentosa Island,2024,7,30,0,30,2024-7-30
Sentosa Island,2024,7,31,37.8,28.6,2024-7-31
Sentosa Island,2024,8,1,0,28.7,2024-8-1
Sentosa Island,2024,8,2,0,28.9,2024-8-2
Sentosa Island,2024,8,3,0.2,29.3,2024-8-3
Sentosa Island,2024,8,4,7.6,27.4,2024-8-4
Sentosa Island,2024,8,5,6.6,28,2024-8-5
Sentosa Island,2024,8,6,0,29.4,2024-8-6
Sentosa Island,2024,8,7,0,29,2024-8-7
Sentosa Island,2024,8,8,1.4,29.3,2024-8-8
Sentosa Island,2024,8,9,11.4,28.4,2024-8-9
Sentosa Island,2024,8,10,34.4,27,2024-8-10
Sentosa Island,2024,8,11,2.8,28.2,2024-8-11
Sentosa Island,2024,8,12,5.2,28.7,2024-8-12
Sentosa Island,2024,8,13,0.2,29.2,2024-8-13
Sentosa Island,2024,8,14,44,27.1,2024-8-14
Sentosa Island,2024,8,15,0,28.5,2024-8-15
Sentosa Island,2024,8,16,1.2,28.8,2024-8-16
Sentosa Island,2024,8,17,10,28.2,2024-8-17
Sentosa Island,2024,8,18,0,28.8,2024-8-18
Sentosa Island,2024,8,19,0,29.3,2024-8-19
Sentosa Island,2024,8,20,2.6,27.7,2024-8-20
Sentosa Island,2024,8,21,0,28.1,2024-8-21
Sentosa Island,2024,8,22,0,29.1,2024-8-22
Sentosa Island,2024,8,23,0,28.9,2024-8-23
Sentosa Island,2024,8,24,4,26.8,2024-8-24
Sentosa Island,2024,8,25,3.6,27.4,2024-8-25
Sentosa Island,2024,8,26,0,28.8,2024-8-26
Sentosa Island,2024,8,27,2.2,28.5,2024-8-27
Sentosa Island,2024,8,28,14.2,27.9,2024-8-28
Sentosa Island,2024,8,29,0,28.6,2024-8-29
Sentosa Island,2024,8,30,0,29.3,2024-8-30
Sentosa Island,2024,8,31,0,29.3,2024-8-31
Sentosa Island,2024,9,1,0,29.8,2024-9-1
Sentosa Island,2024,9,2,0,30,2024-9-2
Sentosa Island,2024,9,3,24.5,29,2024-9-3
Sentosa Island,2024,9,4,26.8,27.4,2024-9-4
Sentosa Island,2024,9,5,0,28.8,2024-9-5
Sentosa Island,2024,9,6,0,29.5,2024-9-6
Sentosa Island,2024,9,7,0,29.4,2024-9-7
Sentosa Island,2024,9,8,19.6,28.3,2024-9-8
Sentosa Island,2024,9,9,1,27.8,2024-9-9
Sentosa Island,2024,9,10,14,27.9,2024-9-10
Sentosa Island,2024,9,11,0,29.1,2024-9-11
Sentosa Island,2024,9,12,5.2,28.1,2024-9-12
Sentosa Island,2024,9,13,0,29.2,2024-9-13
Sentosa Island,2024,9,14,44,27.7,2024-9-14
Sentosa Island,2024,9,15,6,27.4,2024-9-15
Sentosa Island,2024,9,16,0,29,2024-9-16
Sentosa Island,2024,9,17,9.6,29.2,2024-9-17
Sentosa Island,2024,9,18,0,29.2,2024-9-18
Sentosa Island,2024,9,19,0,29.4,2024-9-19
Sentosa Island,2024,9,20,9,29.3,2024-9-20
Sentosa Island,2024,9,21,13.2,27.7,2024-9-21
Sentosa Island,2024,9,22,0,30.2,2024-9-22
Sentosa Island,2024,9,23,0,29.8,2024-9-23
Sentosa Island,2024,9,24,11,28,2024-9-24
Sentosa Island,2024,9,25,2.2,27.9,2024-9-25
Sentosa Island,2024,9,26,7.4,26.9,2024-9-26
Sentosa Island,2024,9,27,1,28.6,2024-9-27
Sentosa Island,2024,9,28,0,28.9,2024-9-28
Sentosa Island,2024,9,29,0,29.2,2024-9-29
Sentosa Island,2024,9,30,0.2,28.6,2024-9-30
Sentosa Island,2024,10,1,0.4,28.2,2024-10-1
Sentosa Island,2024,10,2,0,29.1,2024-10-2
Sentosa Island,2024,10,3,0,28.9,2024-10-3
Sentosa Island,2024,10,4,5.6,27.8,2024-10-4
Sentosa Island,2024,10,5,0.2,28,2024-10-5
Sentosa Island,2024,10,6,66.5,27.5,2024-10-6
Sentosa Island,2024,10,7,0,28.4,2024-10-7
Sentosa Island,2024,10,8,2.6,27.9,2024-10-8
Sentosa Island,2024,10,9,4.4,27.9,2024-10-9
Sentosa Island,2024,10,10,0,28.4,2024-10-10
Sentosa Island,2024,10,11,0,29.2,2024-10-11
Sentosa Island,2024,10,12,0,27.7,2024-10-12
Sentosa Island,2024,10,13,0,28.8,2024-10-13
Sentosa Island,2024,10,14,90.4,26,2024-10-14
Sentosa Island,2024,10,15,0.2,27.9,2024-10-15
Sentosa Island,2024,10,16,1.6,28,2024-10-16
Sentosa Island,2024,10,17,8.6,27.6,2024-10-17
Sentosa Island,2024,10,18,0,28,2024-10-18
Sentosa Island,2024,10,19,0,28.7,2024-10-19
Sentosa Island,2024,10,20,24.2,27.4,2024-10-20
Sentosa Island,2024,10,21,0,29.9,2024-10-21
Sentosa Island,2024,10,22,0,29.8,2024-10-22
Sentosa Island,2024,10,23,3.6,29.7,2024-10-23
Sentosa Island,2024,10,24,0,29.6,2024-10-24
Sentosa Island,2024,10,25,13.2,29.3,2024-10-25
Sentosa Island,2024,10,26,0,30,2024-10-26
Sentosa Island,2024,10,27,0,30.6,2024-10-27
Sentosa Island,2024,10,28,0,30.1,2024-10-28
Sentosa Island,2024,10,29,0,30.2,2024-10-29
Sentosa Island,2024,10,30,0,30.1,2024-10-30
Sentosa Island,2024,10,31,0,29.6,2024-10-31
Sentosa Island,2024,11,1,0,29.3,2024-11-1
Sentosa Island,2024,11,2,1.6,28,2024-11-2
Sentosa Island,2024,11,3,8.4,28.2,2024-11-3
Sentosa Island,2024,11,4,4.8,27.1,2024-11-4
Sentosa Island,2024,11,5,0,28.4,2024-11-5
Sentosa Island,2024,11,6,32.8,27.8,2024-11-6
Sentosa Island,2024,11,7,0,28.2,2024-11-7
Sentosa Island,2024,11,8,14,28.4,2024-11-8
Sentosa Island,2024,11,9,0,28.4,2024-11-9
Sentosa Island,2024,11,10,40.6,28.1,2024-11-10
Sentosa Island,2024,11,11,0,28.5,2024-11-11
Sentosa Island,2024,11,12,0,28.7,2024-11-12
Sentosa Island,2024,11,13,1.5,27.8,2024-11-13
Sentosa Island,2024,11,14,0,28.3,2024-11-14
Sentosa Island,2024,11,15,0,28.8,2024-11-15
Sentosa Island,2024,11,16,21.2,27.6,2024-11-16
Sentosa Island,2024,11,17,33.2,26.9,2024-11-17
Sentosa Island,2024,11,18,2.4,27.1,2024-11-18
Sentosa Island,2024,11,19,5.6,27,2024-11-19
Sentosa Island,2024,11,20,0,27.8,2024-11-20
Sentosa Island,2024,11,21,0,27.7,2024-11-21
Sentosa Island,2024,11,22,32.6,27.2,2024-11-22
Sentosa Island,2024,11,23,0.6,27.8,2024-11-23
Sentosa Island,2024,11,24,8.2,27.5,2024-11-24
Sentosa Island,2024,11,25,1.6,28.3,2024-11-25
Sentosa Island,2024,11,26,10.4,26.8,2024-11-26
Sentosa Island,2024,11,27,5,26.4,2024-11-27
Sentosa Island,2024,11,28,2.4,26.5,2024-11-28
Sentosa Island,2024,11,29,39.6,25.9,2024-11-29
Sentosa Island,2024,11,30,0,28.4,2024-11-30
Sentosa Island,2024,12,1,0,29.1,2024-12-1
Sentosa Island,2024,12,2,0,28.2,2024-12-2
Sentosa Island,2024,12,3,2.2,28.1,2024-12-3
Sentosa Island,2024,12,4,1.2,28.5,2024-12-4
Sentosa Island,2024,12,5,0,29.5,2024-12-5
Sentosa Island,2024,12,6,0,30.1,2024-12-6
Sentosa Island,2024,12,7,0,30.3,2024-12-7
Sentosa Island,2024,12,8,1,29.3,2024-12-8
Sentosa Island,2024,12,9,0.8,27.2,2024-12-9
Sentosa Island,2024,12,10,0,28,2024-12-10
Sentosa Island,2024,12,11,0,29.3,2024-12-11
Sentosa Island,2024,12,12,12.4,28.3,2024-12-12
Sentosa Island,2024,12,13,27,27.5,2024-12-13
Sentosa Island,2024,12,14,0.4,29.2,2024-12-14
Sentosa Island,2024,12,15,0,29.2,2024-12-15
Sentosa Island,2024,12,16,0.6,28.5,2024-12-16
Sentosa Island,2024,12,17,0,28.4,2024-12-17
Sentosa Island,2024,12,18,0.8,26.9,2024-12-18
Sentosa Island,2024,12,19,0,27.8,2024-12-19
Sentosa Island,2024,12,20,1.4,27.6,2024-12-20
Sentosa Island,2024,12,21,24.8,27.6,2024-12-21
Sentosa Island,2024,12,22,7.6,28.1,2024-12-22
Sentosa Island,2024,12,23,40,26.7,2024-12-23
Sentosa Island,2024,12,24,1.2,26.9,2024-12-24
Sentosa Island,2024,12,25,4,27.7,2024-12-25
Sentosa Island,2024,12,26,0,27.5,2024-12-26
Sentosa Island,2024,12,27,0,28.4,2024-12-27
Sentosa Island,2024,12,28,0.4,28.9,2024-12-28
Sentosa Island,2024,12,29,55,27.3,2024-12-29
Sentosa Island,2024,12,30,47.4,26.4,2024-12-30
Sentosa Island,2024,12,31,14.2,26.9,2024-12-31
Sentosa Island,2025,1,1,11,27.6,2025-1-1
Sentosa Island,2025,1,2,6.2,28.1,2025-1-2
Sentosa Island,2025,1,3,5.6,28.3,2025-1-3
Sentosa Island,2025,1,4,0,28.7,2025-1-4
Sentosa Island,2025,1,5,86.6,28,2025-1-5
Sentosa Island,2025,1,6,1.2,28.2,2025-1-6
Sentosa Island,2025,1,7,0,28.4,2025-1-7
Sentosa Island,2025,1,8,0,28.9,2025-1-8
Sentosa Island,2025,1,9,0,29,2025-1-9
Sentosa Island,2025,1,10,102,24.8,2025-1-10
Sentosa Island,2025,1,11,97.2,23.9,2025-1-11
Sentosa Island,2025,1,12,-,-,2025-1-12
Sentosa Island,2025,1,13,-,-,2025-1-13
Sentosa Island,2025,1,14,9.2,25.7,2025-1-14
Sentosa Island,2025,1,15,5.6,-,2025-1-15
Sentosa Island,2025,1,16,-,-,2025-1-16
Sentosa Island,2025,1,17,3.8,27.1,2025-1-17
Sentosa Island,2025,1,18,3.4,26.7,2025-1-18
Sentosa Island,2025,1,19,20,25.6,2025-1-19
Sentosa Island,2025,1,20,0,27.2,2025-1-20
Sentosa Island,2025,1,21,1.4,26.3,2025-1-21
Sentosa Island,2025,1,22,0.8,26.5,2025-1-22
Sentosa Island,2025,1,23,0.2,26.7,2025-1-23
Sentosa Island,2025,1,24,2.4,26,2025-1-24
Sentosa Island,2025,1,25,1,26.7,2025-1-25
Sentosa Island,2025,1,26,31.2,26.5,2025-1-26
Sentosa Island,2025,1,27,7.8,25.9,2025-1-27
Sentosa Island,2025,1,28,0.2,26.9,2025-1-28
Sentosa Island,2025,1,29,0,26.7,2025-1-29
Sentosa Island,2025,1,30,0,27.4,2025-1-30
Sentosa Island,2025,1,31,-,27.3,2025-1-31
Sentosa Island,2025,2,1,-,27.3,2025-2-1
Sentosa Island,2025,2,2,0.6,27.8,2025-2-2
Sentosa Island,2025,2,3,0,28.4,2025-2-3
Sentosa Island,2025,2,4,3.4,27.8,2025-2-4
Sentosa Island,2025,2,5,2.4,25.8,2025-2-5
Sentosa Island,2025,2,6,0,27.6,2025-2-6
Sentosa Island,2025,2,7,0,27.9,2025-2-7
Sentosa Island,2025,2,8,0,28,2025-2-8
Sentosa Island,2025,2,9,1.8,27.4,2025-2-9
Sentosa Island,2025,2,10,0,27.6,2025-2-10
Sentosa Island,2025,2,11,0,27.9,2025-2-11
Sentosa Island,2025,2,12,0,27.4,2025-2-12
Sentosa Island,2025,2,13,0,27.8,2025-2-13
Sentosa Island,2025,2,14,0,28.3,2025-2-14
Sentosa Island,2025,2,15,26,27.2,2025-2-15
Sentosa Island,2025,2,16,0,27.6,2025-2-16
Sentosa Island,2025,2,17,6.5,27.5,2025-2-17
Sentosa Island,2025,2,18,0,27.4,2025-2-18
Sentosa Island,2025,2,19,0,27.9,2025-2-19
Sentosa Island,2025,2,20,0,28.5,2025-2-20
Sentosa Island,2025,2,21,0,28.7,2025-2-21
Sentosa Island,2025,2,22,17.5,27.5,2025-2-22
Sentosa Island,2025,2,23,21,26.8,2025-2-23
Sentosa Island,2025,2,24,1.4,28.1,2025-2-24
Sentosa Island,2025,2,25,0.8,27.8,2025-2-25
Sentosa Island,2025,2,26,1,28,2025-2-26
Sentosa Island,2025,2,27,0,28.7,2025-2-27
Sentosa Island,2025,2,28,0,28.7,2025-2-28
