Station,Year,Month,Day,Daily Rainfall Total (mm),Mean Temperature (°C),Date
Sentosa Island,2024,3,17,30.6,29.4,2024-03-17
Sentosa Island,2024,3,18,0.0,29.6,2024-03-18
Sentosa Island,2024,3,19,10.6,29.0,2024-03-19
Sentosa Island,2024,3,20,0.0,29.4,2024-03-20
Sentosa Island,2024,3,21,17.0,28.8,2024-03-21
Sentosa Island,2024,3,22,0.0,29.2,2024-03-22
Sentosa Island,2024,3,23,0.0,29.1,2024-03-23
Sentosa Island,2024,3,24,0.0,29.3,2024-03-24
Sentosa Island,2024,3,25,0.0,29.7,2024-03-25
Sentosa Island,2024,3,26,0.0,30.2,2024-03-26
Sentosa Island,2024,3,27,0.0,29.9,2024-03-27
Sentosa Island,2024,3,28,0.0,29.5,2024-03-28
Sentosa Island,2024,3,29,0.0,28.5,2024-03-29
Sentosa Island,2024,3,30,0.0,28.5,2024-03-30
Sentosa Island,2024,3,31,0.0,29.9,2024-03-31
Sentosa Island,2024,4,1,8.6,29.3,2024-04-01
Sentosa Island,2024,4,2,0.0,30.1,2024-04-02
Sentosa Island,2024,4,3,0.0,30.0,2024-04-03
Sentosa Island,2024,4,4,0.8,29.3,2024-04-04
Sentosa Island,2024,4,5,0.0,29.7,2024-04-05
Sentosa Island,2024,4,6,0.0,29.7,2024-04-06
Sentosa Island,2024,4,7,0.0,30.6,2024-04-07
Sentosa Island,2024,4,8,4.8,29.1,2024-04-08
Sentosa Island,2024,4,9,0.0,30.2,2024-04-09
Sentosa Island,2024,4,10,13.4,28.2,2024-04-10
Sentosa Island,2024,4,11,4.4,28.6,2024-04-11
Sentosa Island,2024,4,12,30.4,26.5,2024-04-12
Sentosa Island,2024,4,13,2.2,28.8,2024-04-13
Sentosa Island,2024,4,14,0.0,29.1,2024-04-14
Sentosa Island,2024,4,15,0.0,29.2,2024-04-15
Sentosa Island,2024,4,16,3.6,27.6,2024-04-16
Sentosa Island,2024,4,17,17.0,28.1,2024-04-17
Sentosa Island,2024,4,18,3.2,29.2,2024-04-18
Sentosa Island,2024,4,19,0.4,29.5,2024-04-19
Sentosa Island,2024,4,20,44.2,28.2,2024-04-20
Sentosa Island,2024,4,21,0.2,29.3,2024-04-21
Sentosa Island,2024,4,22,0.0,29.9,2024-04-22
Sentosa Island,2024,4,23,0.0,30.3,2024-04-23
Sentosa Island,2024,4,24,0.0,29.8,2024-04-24
Sentosa Island,2024,4,25,0.0,28.5,2024-04-25
Sentosa Island,2024,4,26,0.0,28.5,2024-04-26
Sentosa Island,2024,4,27,0.0,28.5,2024-04-27
Sentosa Island,2024,4,28,2.2,29.3,2024-04-28
Sentosa Island,2024,4,29,0.0,30.5,2024-04-29
Sentosa Island,2024,4,30,0.0,30.4,2024-04-30
Sentosa Island,2024,5,1,0.0,30.2,2024-05-01
Sentosa Island,2024,5,2,0.0,29.3,2024-05-02
Sentosa Island,2024,5,3,0.0,29.8,2024-05-03
Sentosa Island,2024,5,4,51.6,27.2,2024-05-04
Sentosa Island,2024,5,5,0.0,29.8,2024-05-05
Sentosa Island,2024,5,6,0.0,30.0,2024-05-06
Sentosa Island,2024,5,7,0.0,29.1,2024-05-07
Sentosa Island,2024,5,8,5.6,28.1,2024-05-08
Sentosa Island,2024,5,9,0.0,29.8,2024-05-09
Sentosa Island,2024,5,10,28.2,28.9,2024-05-10
Sentosa Island,2024,5,11,0.0,29.8,2024-05-11
Sentosa Island,2024,5,12,0.0,29.3,2024-05-12
Sentosa Island,2024,5,13,12.6,29.0,2024-05-13
Sentosa Island,2024,5,14,35.8,28.7,2024-05-14
Sentosa Island,2024,5,15,0.0,29.2,2024-05-15
Sentosa Island,2024,5,16,26.2,27.8,2024-05-16
Sentosa Island,2024,5,17,0.2,29.4,2024-05-17
Sentosa Island,2024,5,18,0.4,29.3,2024-05-18
Sentosa Island,2024,5,19,2.8,29.1,2024-05-19
Sentosa Island,2024,5,20,0.2,28.2,2024-05-20
Sentosa Island,2024,5,21,0.0,29.1,2024-05-21
Sentosa Island,2024,5,22,0.4,28.5,2024-05-22
Sentosa Island,2024,5,23,22.4,28.9,2024-05-23
Sentosa Island,2024,5,24,0.8,28.1,2024-05-24
Sentosa Island,2024,5,25,3.4,28.3,2024-05-25
Sentosa Island,2024,5,26,0.5,29.2,2024-05-26
Sentosa Island,2024,5,27,0.0,29.9,2024-05-27
Sentosa Island,2024,5,28,0.0,29.9,2024-05-28
Sentosa Island,2024,5,29,0.0,30.5,2024-05-29
Sentosa Island,2024,5,30,0.0,29.5,2024-05-30
Sentosa Island,2024,5,31,0.0,29.6,2024-05-31
Sentosa Island,2024,6,1,18.0,27.2,2024-06-01
Sentosa Island,2024,6,2,4.0,27.6,2024-06-02
Sentosa Island,2024,6,3,0.0,28.5,2024-06-03
Sentosa Island,2024,6,4,0.0,29.6,2024-06-04
Sentosa Island,2024,6,5,0.0,29.9,2024-06-05
Sentosa Island,2024,6,6,0.0,29.1,2024-06-06
Sentosa Island,2024,6,7,0.0,28.9,2024-06-07
Sentosa Island,2024,6,8,2.8,29.2,2024-06-08
Sentosa Island,2024,6,9,0.0,29.4,2024-06-09
Sentosa Island,2024,6,10,0.0,29.6,2024-06-10
Sentosa Island,2024,6,11,0.0,30.0,2024-06-11
Sentosa Island,2024,6,12,0.0,29.3,2024-06-12
Sentosa Island,2024,6,13,0.0,30.1,2024-06-13
Sentosa Island,2024,6,14,0.0,29.4,2024-06-14
Sentosa Island,2024,6,15,2.0,29.1,2024-06-15
Sentosa Island,2024,6,16,11.0,28.3,2024-06-16
Sentosa Island,2024,6,17,1.2,29.0,2024-06-17
Sentosa Island,2024,6,18,0.2,29.3,2024-06-18
Sentosa Island,2024,6,19,0.0,28.9,2024-06-19
Sentosa Island,2024,6,20,0.4,29.3,2024-06-20
Sentosa Island,2024,6,21,22.8,27.8,2024-06-21
Sentosa Island,2024,6,22,41.2,26.7,2024-06-22
Sentosa Island,2024,6,23,0.0,28.9,2024-06-23
Sentosa Island,2024,6,24,0.0,29.7,2024-06-24
Sentosa Island,2024,6,25,0.0,29.6,2024-06-25
Sentosa Island,2024,6,26,1.6,29.5,2024-06-26
Sentosa Island,2024,6,27,0.2,28.7,2024-06-27
Sentosa Island,2024,6,28,0.0,29.3,2024-06-28
Sentosa Island,2024,6,29,4.6,29.0,2024-06-29
Sentosa Island,2024,6,30,29.8,26.8,2024-06-30
Sentosa Island,2024,7,1,3.2,27.9,2024-07-01
Sentosa Island,2024,7,2,1.0,28.8,2024-07-02
Sentosa Island,2024,7,3,0.0,29.4,2024-07-03
Sentosa Island,2024,7,4,0.0,29.4,2024-07-04
Sentosa Island,2024,7,5,0.0,29.2,2024-07-05
Sentosa Island,2024,7,6,3.6,28.5,2024-07-06
Sentosa Island,2024,7,7,21.0,27.8,2024-07-07
Sentosa Island,2024,7,8,4.0,27.1,2024-07-08
Sentosa Island,2024,7,9,0.2,27.8,2024-07-09
Sentosa Island,2024,7,10,0.4,28.5,2024-07-10
Sentosa Island,2024,7,11,0.0,29.2,2024-07-11
Sentosa Island,2024,7,12,7.8,27.8,2024-07-12
Sentosa Island,2024,7,13,0.0,29.0,2024-07-13
Sentosa Island,2024,7,14,0.8,29.0,2024-07-14
Sentosa Island,2024,7,15,0.0,29.5,2024-07-15
Sentosa Island,2024,7,16,0.0,29.2,2024-07-16
Sentosa Island,2024,7,17,0.0,29.2,2024-07-17
Sentosa Island,2024,7,18,0.0,29.5,2024-07-18
Sentosa Island,2024,7,19,0.0,29.6,2024-07-19
Sentosa Island,2024,7,20,0.0,29.9,2024-07-20
Sentosa Island,2024,7,21,0.0,29.8,2024-07-21
Sentosa Island,2024,7,22,0.0,29.9,2024-07-22
Sentosa Island,2024,7,23,0.0,29.9,2024-07-23
Sentosa Island,2024,7,24,0.0,29.7,2024-07-24
Sentosa Island,2024,7,25,0.0,29.7,2024-07-25
Sentosa Island,2024,7,26,0.0,29.8,2024-07-26
Sentosa Island,2024,7,27,0.0,30.0,2024-07-27
Sentosa Island,2024,7,28,0.0,30.0,2024-07-28
Sentosa Island,2024,7,29,0.0,30.1,2024-07-29
Sentosa Island,2024,7,30,0.0,30.0,2024-07-30
Sentosa Island,2024,7,31,37.8,28.6,2024-07-31
Sentosa Island,2024,8,1,0.0,28.7,2024-08-01
Sentosa Island,2024,8,2,0.0,28.9,2024-08-02
Sentosa Island,2024,8,3,0.2,29.3,2024-08-03
Sentosa Island,2024,8,4,7.6,27.4,2024-08-04
Sentosa Island,2024,8,5,6.6,28.0,2024-08-05
Sentosa Island,2024,8,6,0.0,29.4,2024-08-06
Sentosa Island,2024,8,7,0.0,29.0,2024-08-07
Sentosa Island,2024,8,8,1.4,29.3,2024-08-08
Sentosa Island,2024,8,9,11.4,28.4,2024-08-09
Sentosa Island,2024,8,10,34.4,27.0,2024-08-10
Sentosa Island,2024,8,11,2.8,28.2,2024-08-11
Sentosa Island,2024,8,12,5.2,28.7,2024-08-12
Sentosa Island,2024,8,13,0.2,29.2,2024-08-13
Sentosa Island,2024,8,14,44.0,27.1,2024-08-14
Sentosa Island,2024,8,15,0.0,28.5,2024-08-15
Sentosa Island,2024,8,16,1.2,28.8,2024-08-16
Sentosa Island,2024,8,17,10.0,28.2,2024-08-17
Sentosa Island,2024,8,18,0.0,28.8,2024-08-18
Sentosa Island,2024,8,19,0.0,29.3,2024-08-19
Sentosa Island,2024,8,20,2.6,27.7,2024-08-20
Sentosa Island,2024,8,21,0.0,28.1,2024-08-21
Sentosa Island,2024,8,22,0.0,29.1,2024-08-22
Sentosa Island,2024,8,23,0.0,28.9,2024-08-23
Sentosa Island,2024,8,24,4.0,26.8,2024-08-24
Sentosa Island,2024,8,25,3.6,27.4,2024-08-25
Sentosa Island,2024,8,26,0.0,28.8,2024-08-26
Sentosa Island,2024,8,27,2.2,28.5,2024-08-27
Sentosa Island,2024,8,28,14.2,27.9,2024-08-28
Sentosa Island,2024,8,29,0.0,28.6,2024-08-29
Sentosa Island,2024,8,30,0.0,29.3,2024-08-30
Sentosa Island,2024,8,31,0.0,29.3,2024-08-31
Sentosa Island,2024,9,1,0.0,29.8,2024-09-01
Sentosa Island,2024,9,2,0.0,30.0,2024-09-02
Sentosa Island,2024,9,3,24.5,29.0,2024-09-03
Sentosa Island,2024,9,4,26.8,27.4,2024-09-04
Sentosa Island,2024,9,5,0.0,28.8,2024-09-05
Sentosa Island,2024,9,6,0.0,29.5,2024-09-06
Sentosa Island,2024,9,7,0.0,29.4,2024-09-07
Sentosa Island,2024,9,8,19.6,28.3,2024-09-08
Sentosa Island,2024,9,9,1.0,27.8,2024-09-09
Sentosa Island,2024,9,10,14.0,27.9,2024-09-10
Sentosa Island,2024,9,11,0.0,29.1,2024-09-11
Sentosa Island,2024,9,12,5.2,28.1,2024-09-12
Sentosa Island,2024,9,13,0.0,29.2,2024-09-13
Sentosa Island,2024,9,14,44.0,27.7,2024-09-14
Sentosa Island,2024,9,15,6.0,27.4,2024-09-15
Sentosa Island,2024,9,16,0.0,29.0,2024-09-16
Sentosa Island,2024,9,17,9.6,29.2,2024-09-17
Sentosa Island,2024,9,18,0.0,29.2,2024-09-18
Sentosa Island,2024,9,19,0.0,29.4,2024-09-19
Sentosa Island,2024,9,20,9.0,29.3,2024-09-20
Sentosa Island,2024,9,21,13.2,27.7,2024-09-21
Sentosa Island,2024,9,22,0.0,30.2,2024-09-22
Sentosa Island,2024,9,23,0.0,29.8,2024-09-23
Sentosa Island,2024,9,24,11.0,28.0,2024-09-24
Sentosa Island,2024,9,25,2.2,27.9,2024-09-25
Sentosa Island,2024,9,26,7.4,26.9,2024-09-26
Sentosa Island,2024,9,27,1.0,28.6,2024-09-27
Sentosa Island,2024,9,28,0.0,28.9,2024-09-28
Sentosa Island,2024,9,29,0.0,29.2,2024-09-29
Sentosa Island,2024,9,30,0.2,28.6,2024-09-30
Sentosa Island,2024,10,1,0.4,28.2,2024-10-01
Sentosa Island,2024,10,2,0.0,29.1,2024-10-02
Sentosa Island,2024,10,3,0.0,28.9,2024-10-03
Sentosa Island,2024,10,4,5.6,27.8,2024-10-04
Sentosa Island,2024,10,5,0.2,28.0,2024-10-05
Sentosa Island,2024,10,6,66.5,27.5,2024-10-06
Sentosa Island,2024,10,7,0.0,28.4,2024-10-07
Sentosa Island,2024,10,8,2.6,27.9,2024-10-08
Sentosa Island,2024,10,9,4.4,27.9,2024-10-09
Sentosa Island,2024,10,10,0.0,28.4,2024-10-10
Sentosa Island,2024,10,11,0.0,29.2,2024-10-11
Sentosa Island,2024,10,12,0.0,27.7,2024-10-12
Sentosa Island,2024,10,13,0.0,28.8,2024-10-13
Sentosa Island,2024,10,14,90.4,26.0,2024-10-14
Sentosa Island,2024,10,15,0.2,27.9,2024-10-15
Sentosa Island,2024,10,16,1.6,28.0,2024-10-16
Sentosa Island,2024,10,17,8.6,27.6,2024-10-17
Sentosa Island,2024,10,18,0.0,28.0,2024-10-18
Sentosa Island,2024,10,19,0.0,28.7,2024-10-19
Sentosa Island,2024,10,20,24.2,27.4,2024-10-20
Sentosa Island,2024,10,21,0.0,29.9,2024-10-21
Sentosa Island,2024,10,22,0.0,29.8,2024-10-22
Sentosa Island,2024,10,23,3.6,29.7,2024-10-23
Sentosa Island,2024,10,24,0.0,29.6,2024-10-24
Sentosa Island,2024,10,25,13.2,29.3,2024-10-25
Sentosa Island,2024,10,26,0.0,30.0,2024-10-26
Sentosa Island,2024,10,27,0.0,30.6,2024-10-27
Sentosa Island,2024,10,28,0.0,30.1,2024-10-28
Sentosa Island,2024,10,29,0.0,30.2,2024-10-29
Sentosa Island,2024,10,30,0.0,30.1,2024-10-30
Sentosa Island,2024,10,31,0.0,29.6,2024-10-31
Sentosa Island,2024,11,1,0.0,29.3,2024-11-01
Sentosa Island,2024,11,2,1.6,28.0,2024-11-02
Sentosa Island,2024,11,3,8.4,28.2,2024-11-03
Sentosa Island,2024,11,4,4.8,27.1,2024-11-04
Sentosa Island,2024,11,5,0.0,28.4,2024-11-05
Sentosa Island,2024,11,6,32.8,27.8,2024-11-06
Sentosa Island,2024,11,7,0.0,28.2,2024-11-07
Sentosa Island,2024,11,8,14.0,28.4,2024-11-08
Sentosa Island,2024,11,9,0.0,28.4,2024-11-09
Sentosa Island,2024,11,10,40.6,28.1,2024-11-10
Sentosa Island,2024,11,11,0.0,28.5,2024-11-11
Sentosa Island,2024,11,12,0.0,28.7,2024-11-12
Sentosa Island,2024,11,13,1.5,27.8,2024-11-13
Sentosa Island,2024,11,14,0.0,28.3,2024-11-14
Sentosa Island,2024,11,15,0.0,28.8,2024-11-15
Sentosa Island,2024,11,16,21.2,27.6,2024-11-16
Sentosa Island,2024,11,17,33.2,26.9,2024-11-17
Sentosa Island,2024,11,18,2.4,27.1,2024-11-18
Sentosa Island,2024,11,19,5.6,27.0,2024-11-19
Sentosa Island,2024,11,20,0.0,27.8,2024-11-20
Sentosa Island,2024,11,21,0.0,27.7,2024-11-21
Sentosa Island,2024,11,22,32.6,27.2,2024-11-22
Sentosa Island,2024,11,23,0.6,27.8,2024-11-23
Sentosa Island,2024,11,24,8.2,27.5,2024-11-24
Sentosa Island,2024,11,25,1.6,28.3,2024-11-25
Sentosa Island,2024,11,26,10.4,26.8,2024-11-26
Sentosa Island,2024,11,27,5.0,26.4,2024-11-27
Sentosa Island,2024,11,28,2.4,26.5,2024-11-28
Sentosa Island,2024,11,29,39.6,25.9,2024-11-29
Sentosa Island,2024,11,30,0.0,28.4,2024-11-30
Sentosa Island,2024,12,1,0.0,29.1,2024-12-01
Sentosa Island,2024,12,2,0.0,28.2,2024-12-02
Sentosa Island,2024,12,3,2.2,28.1,2024-12-03
Sentosa Island,2024,12,4,1.2,28.5,2024-12-04
Sentosa Island,2024,12,5,0.0,29.5,2024-12-05
Sentosa Island,2024,12,6,0.0,30.1,2024-12-06
Sentosa Island,2024,12,7,0.0,30.3,2024-12-07
Sentosa Island,2024,12,8,1.0,29.3,2024-12-08
Sentosa Island,2024,12,9,0.8,27.2,2024-12-09
Sentosa Island,2024,12,10,0.0,28.0,2024-12-10
Sentosa Island,2024,12,11,0.0,29.3,2024-12-11
Sentosa Island,2024,12,12,12.4,28.3,2024-12-12
Sentosa Island,2024,12,13,27.0,27.5,2024-12-13
Sentosa Island,2024,12,14,0.4,29.2,2024-12-14
Sentosa Island,2024,12,15,0.0,29.2,2024-12-15
Sentosa Island,2024,12,16,0.6,28.5,2024-12-16
Sentosa Island,2024,12,17,0.0,28.4,2024-12-17
Sentosa Island,2024,12,18,0.8,26.9,2024-12-18
Sentosa Island,2024,12,19,0.0,27.8,2024-12-19
Sentosa Island,2024,12,20,1.4,27.6,2024-12-20
Sentosa Island,2024,12,21,24.8,27.6,2024-12-21
Sentosa Island,2024,12,22,7.6,28.1,2024-12-22
Sentosa Island,2024,12,23,40.0,26.7,2024-12-23
Sentosa Island,2024,12,24,1.2,26.9,2024-12-24
Sentosa Island,2024,12,25,4.0,27.7,2024-12-25
Sentosa Island,2024,12,26,0.0,27.5,2024-12-26
Sentosa Island,2024,12,27,0.0,28.4,2024-12-27
Sentosa Island,2024,12,28,0.4,28.9,2024-12-28
Sentosa Island,2024,12,29,55.0,27.3,2024-12-29
Sentosa Island,2024,12,30,47.4,26.4,2024-12-30
Sentosa Island,2024,12,31,14.2,26.9,2024-12-31
Sentosa Island,2025,1,1,11.0,27.6,2025-01-01
Sentosa Island,2025,1,2,6.2,28.1,2025-01-02
Sentosa Island,2025,1,3,5.6,28.3,2025-01-03
Sentosa Island,2025,1,4,0.0,28.7,2025-01-04
Sentosa Island,2025,1,5,86.6,28.0,2025-01-05
Sentosa Island,2025,1,6,1.2,28.2,2025-01-06
Sentosa Island,2025,1,7,0.0,28.4,2025-01-07
Sentosa Island,2025,1,8,0.0,28.9,2025-01-08
Sentosa Island,2025,1,9,0.0,29.0,2025-01-09
Sentosa Island,2025,1,10,102.0,24.8,2025-01-10
Sentosa Island,2025,1,11,97.2,23.9,2025-01-11
Sentosa Island,2025,1,12,0.0,28.5,2025-01-12
Sentosa Island,2025,1,13,0.0,28.5,2025-01-13
Sentosa Island,2025,1,14,9.2,25.7,2025-01-14
Sentosa Island,2025,1,15,5.6,28.5,2025-01-15
Sentosa Island,2025,1,16,0.0,28.5,2025-01-16
Sentosa Island,2025,1,17,3.8,27.1,2025-01-17
Sentosa Island,2025,1,18,3.4,26.7,2025-01-18
Sentosa Island,2025,1,19,20.0,25.6,2025-01-19
Sentosa Island,2025,1,20,0.0,27.2,2025-01-20
Sentosa Island,2025,1,21,1.4,26.3,2025-01-21
Sentosa Island,2025,1,22,0.8,26.5,2025-01-22
Sentosa Island,2025,1,23,0.2,26.7,2025-01-23
Sentosa Island,2025,1,24,2.4,26.0,2025-01-24
Sentosa Island,2025,1,25,1.0,26.7,2025-01-25
Sentosa Island,2025,1,26,31.2,26.5,2025-01-26
Sentosa Island,2025,1,27,7.8,25.9,2025-01-27
Sentosa Island,2025,1,28,0.2,26.9,2025-01-28
Sentosa Island,2025,1,29,0.0,26.7,2025-01-29
Sentosa Island,2025,1,30,0.0,27.4,2025-01-30
Sentosa Island,2025,1,31,0.2,27.3,2025-01-31
Sentosa Island,2025,2,1,0.0,27.3,2025-02-01
Sentosa Island,2025,2,2,0.6,27.8,2025-02-02
Sentosa Island,2025,2,3,0.0,28.4,2025-02-03
Sentosa Island,2025,2,4,3.4,27.8,2025-02-04
Sentosa Island,2025,2,5,2.4,25.8,2025-02-05
Sentosa Island,2025,2,6,0.0,27.6,2025-02-06
Sentosa Island,2025,2,7,0.0,27.9,2025-02-07
Sentosa Island,2025,2,8,0.0,28.0,2025-02-08
Sentosa Island,2025,2,9,1.8,27.4,2025-02-09
Sentosa Island,2025,2,10,0.0,27.6,2025-02-10
Sentosa Island,2025,2,11,0.0,27.9,2025-02-11
Sentosa Island,2025,2,12,0.0,27.4,2025-02-12
Sentosa Island,2025,2,13,0.0,27.8,2025-02-13
Sentosa Island,2025,2,14,0.0,28.3,2025-02-14
Sentosa Island,2025,2,15,26.0,27.2,2025-02-15
Sentosa Island,2025,2,16,0.0,27.6,2025-02-16
Sentosa Island,2025,2,17,6.5,27.5,2025-02-17
Sentosa Island,2025,2,18,0.0,27.4,2025-02-18
Sentosa Island,2025,2,19,0.0,27.9,2025-02-19
Sentosa Island,2025,2,20,0.0,28.5,2025-02-20
Sentosa Island,2025,2,21,0.0,28.7,2025-02-21
Sentosa Island,2025,2,22,17.5,27.5,2025-02-22
Sentosa Island,2025,2,23,21.0,26.8,2025-02-23
Sentosa Island,2025,2,24,1.4,28.1,2025-02-24
Sentosa Island,2025,2,25,0.8,27.8,2025-02-25
Sentosa Island,2025,2,26,1.0,28.0,2025-02-26
Sentosa Island,2025,2,27,0.0,28.7,2025-02-27
Sentosa Island,2025,2,28,0.0,28.7,2025-02-28
